,20≈ÊπÃ∏∏,20~100≈ÊπÃ∏∏,100~500≈ÊπÃ∏∏,500~1000≈ÊπÃ∏∏,1000~5000≈ÊπÃ∏∏,5000~10000≈ÊπÃ∏∏,10000≈Ê¿ÃªÛ,πÃªÛ,√—«’∞Ë
1998,318,357,92,29,62,16,15,47,936
1999,378,394,102,24,58,11,27,47,"1,041"
2000,254,318,72,31,62,10,12,21,780
2001,276,289,64,43,61,12,25,9,779
2002,299,221,80,47,82,20,26,0,775
2003,305,203,94,44,88,11,19,3,767
2004,459,313,123,39,97,17,22,0,"1,070"
2005,364,297,78,26,79,12,26,2,884
2006,276,334,81,30,97,17,30,0,865
2007,236,278,86,29,90,17,17,6,759
2008,194,271,69,14,59,8,21,0,636
2009,356,373,67,25,51,19,24,0,915
2010,310,356,112,29,73,21,54,6,961
2011,502,412,107,27,74,15,55,5,"1,197"
2012,410,268,102,22,68,16,50,5,941
